Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency
2025-01-30 23:46:54,7,6,0.0,0.0,0.008119073723976003
2025-01-30 23:46:54,7,12,0.0,0.0,0.002851468092936497
2025-01-30 23:46:54,7,19,0.0,0.0,0.0035892460278338562
2025-01-30 23:46:54,7,29,0.0,0.0,0.0011592659227922845
2025-01-30 23:46:54,5,33,0.0,0.0,0.0012426451185028223
2025-01-30 23:46:54,7,41,0.0,0.0,0.002118171183344132
2025-01-30 23:46:54,7,51,0.0,0.0,0.0013110240930222128
2025-01-30 23:46:54,7,60,0.0,0.0,0.00041720902917418844
2025-01-30 23:46:54,8,70,0.0,0.0,0.0013450907172227369
2025-01-30 23:46:55,5,78,0.0,0.0,0.00016286284936667628
2025-01-30 23:46:55,7,88,0.0,0.0,0.0009924751954890109
2025-01-30 23:46:55,8,95,0.0,0.0,0.0005482443528291003
2025-01-30 23:46:55,7,105,0.0,0.0,0.0003573489252199349
2025-01-30 23:46:55,7,113,0.0,0.0,0.000275055096346034
2025-01-30 23:46:55,8,121,0.0,0.0,0.0008141142721794762
2025-01-30 23:46:55,8,131,0.0,0.0,0.0005443316231944242
2025-01-30 23:46:55,7,138,0.0,0.0,0.00024220841192323334
2025-01-30 23:46:55,6,141,0.0,0.0,0.00027707183873303137
2025-01-30 23:46:55,8,146,0.0,0.0,0.0006464615756955493
2025-01-30 23:46:55,7,154,0.006493506493506494,0.6493506493506493,0.00011461857656028228
2025-01-30 23:46:55,7,163,0.006134969325153374,0.6134969325153374,0.00015097234359931792
2025-01-30 23:46:55,8,172,0.005813953488372093,0.5813953488372093,0.0003644651696020987
2025-01-30 23:46:55,6,177,0.005649717514124294,0.5649717514124294,7.591298125431519e-05
2025-01-30 23:46:55,7,183,0.00546448087431694,0.546448087431694,0.00046243236543068694
2025-01-30 23:46:55,8,191,0.005235602094240838,0.5235602094240838,0.0002988190967236953
2025-01-30 23:46:55,8,200,0.005,0.5,0.00013335467436406185
2025-01-30 23:46:55,7,205,0.004878048780487805,0.4878048780487805,9.820477820956399e-05
2025-01-30 23:46:55,8,210,0.004761904761904762,0.4761904761904762,0.00017793265779443015
2025-01-30 23:46:55,8,218,0.0045871559633027525,0.45871559633027525,0.00018052146337832372
2025-01-30 23:46:55,8,228,0.008771929824561403,0.8771929824561403,0.00028423357299354953
2025-01-30 23:46:55,8,231,0.008658008658008658,0.8658008658008658,0.00010280506415920706
2025-01-30 23:46:55,7,237,0.008438818565400843,0.8438818565400843,0.0002880246588582208
2025-01-30 23:46:55,8,246,0.008130081300813009,0.8130081300813009,0.00015893235472493533
2025-01-30 23:46:55,7,250,0.008,0.8,0.00011816626696067798
2025-01-30 23:46:55,7,255,0.00784313725490196,0.7843137254901961,0.00014298597861746995
2025-01-30 23:46:55,8,258,0.007751937984496124,0.7751937984496124,0.0003542391266017431
2025-01-30 23:46:55,7,261,0.007662835249042145,0.7662835249042145,0.00012873832107874794
2025-01-30 23:46:55,7,264,0.007575757575757576,0.7575757575757576,0.00016037379290778989
2025-01-30 23:46:55,7,273,0.007326007326007326,0.7326007326007326,7.459670385012306e-05
2025-01-30 23:46:55,8,281,0.0071174377224199285,0.7117437722419928,0.00020288929516976958
2025-01-30 23:46:55,7,288,0.006944444444444444,0.6944444444444444,4.4077897052199285e-05
2025-01-30 23:46:55,8,291,0.006872852233676976,0.6872852233676976,7.033518968185523e-05
2025-01-30 23:46:55,7,295,0.010169491525423728,1.0169491525423728,0.00014184975270498774
2025-01-30 23:46:55,7,301,0.013289036544850499,1.3289036544850499,4.006585882179125e-05
2025-01-30 23:46:55,8,306,0.013071895424836602,1.3071895424836601,0.0002832279895659689
2025-01-30 23:46:55,6,310,0.012903225806451613,1.2903225806451613,0.00020546731582012646
2025-01-30 23:46:55,8,316,0.012658227848101266,1.2658227848101267,3.9665727989539494e-05
2025-01-30 23:46:55,8,324,0.012345679012345678,1.2345679012345678,0.0002892485601798285
2025-01-30 23:46:55,7,331,0.012084592145015106,1.2084592145015105,0.0001930623815850319
2025-01-30 23:46:55,8,339,0.011799410029498525,1.1799410029498525,0.00025419282876115983
2025-01-30 23:46:55,8,347,0.011527377521613832,1.1527377521613833,6.401077367957142e-05
2025-01-30 23:46:55,8,350,0.011428571428571429,1.1428571428571428,0.00021586959426894104
2025-01-30 23:46:55,7,360,0.011111111111111112,1.1111111111111112,0.0002097602925446209
2025-01-30 23:46:55,6,367,0.010899182561307902,1.08991825613079,0.00021777126181995562
2025-01-30 23:46:55,8,377,0.010610079575596816,1.0610079575596816,0.0002089599032126649
2025-01-30 23:46:55,8,384,0.010416666666666666,1.0416666666666665,7.275315069242928e-05
2025-01-30 23:46:55,8,394,0.012690355329949238,1.2690355329949239,0.00010922010663999194
2025-01-30 23:46:55,6,397,0.012594458438287154,1.2594458438287155,4.2899114875765744e-05
2025-01-30 23:46:55,7,406,0.012315270935960592,1.2315270935960592,0.0002375089491809466
2025-01-30 23:46:55,8,413,0.012106537530266344,1.2106537530266344,0.00015199231530138322
2025-01-30 23:46:55,8,422,0.011848341232227487,1.1848341232227488,0.00019673310333494725
2025-01-30 23:46:55,6,426,0.011737089201877934,1.1737089201877933,9.560100497686101e-05
2025-01-30 23:46:55,8,431,0.01160092807424594,1.160092807424594,0.00010523972169499643
2025-01-30 23:46:55,8,435,0.011494252873563218,1.1494252873563218,2.486974076983073e-05
2025-01-30 23:46:55,6,443,0.011286681715575621,1.1286681715575622,9.835016186074515e-05
2025-01-30 23:46:55,8,446,0.011210762331838564,1.1210762331838564,0.00019203851996828399
2025-01-30 23:46:55,7,456,0.010964912280701754,1.0964912280701753,0.00019448923099155808
2025-01-30 23:46:55,8,465,0.010752688172043012,1.0752688172043012,0.00016461408859059677
2025-01-30 23:46:55,8,471,0.010615711252653927,1.0615711252653928,0.00016160272935534793
2025-01-30 23:46:55,8,478,0.010460251046025104,1.0460251046025104,0.00010633682878261835
2025-01-30 23:46:55,7,486,0.0102880658436214,1.02880658436214,0.0001641017807369493
2025-01-30 23:46:55,7,492,0.01016260162601626,1.0162601626016259,0.00016739917538878226
2025-01-30 23:46:55,8,499,0.01002004008016032,1.002004008016032,4.724548049183212e-05
2025-01-30 23:46:55,5,506,0.009881422924901186,0.9881422924901186,0.0001139758766819491
2025-01-30 23:46:55,8,516,0.009689922480620155,0.9689922480620154,0.00014178942626368943
2025-01-30 23:46:55,7,524,0.009541984732824428,0.9541984732824428,0.00012612622698400874
2025-01-30 23:46:55,8,531,0.009416195856873822,0.9416195856873822,0.00010985797083832445
2025-01-30 23:46:55,6,539,0.00927643784786642,0.927643784786642,0.00017591983729174965
2025-01-30 23:46:55,8,544,0.009191176470588236,0.9191176470588236,5.0041067401398947e-05
2025-01-30 23:46:55,7,553,0.009041591320072333,0.9041591320072333,2.2863422711315283e-05
2025-01-30 23:46:55,7,559,0.008944543828264758,0.8944543828264758,6.869234908893838e-05
2025-01-30 23:46:55,7,567,0.008818342151675485,0.8818342151675485,0.00013395673246292898
2025-01-30 23:46:55,8,570,0.008771929824561403,0.8771929824561403,0.000139829553589449
2025-01-30 23:46:55,6,580,0.010344827586206896,1.0344827586206897,3.5241018278884615e-05
2025-01-30 23:46:55,7,589,0.010186757215619695,1.0186757215619695,1.8873726060644272e-05
2025-01-30 23:46:55,8,592,0.010135135135135136,1.0135135135135136,0.00010247617204786951
2025-01-30 23:46:55,8,597,0.011725293132328308,1.1725293132328307,0.0001592166353679245
2025-01-30 23:46:55,8,603,0.011608623548922056,1.1608623548922055,7.036091287025036e-05
2025-01-30 23:46:55,8,611,0.011456628477905073,1.1456628477905073,7.869594125233008e-05
2025-01-30 23:46:55,8,616,0.011363636363636364,1.1363636363636365,7.315581850313567e-05
2025-01-30 23:46:55,7,623,0.011235955056179775,1.1235955056179776,4.8288533935317715e-05
2025-01-30 23:46:55,7,633,0.011058451816745656,1.1058451816745656,8.375056686855218e-05
2025-01-30 23:46:55,7,636,0.0110062893081761,1.10062893081761,5.7069381770785495e-05
2025-01-30 23:46:55,7,646,0.010835913312693499,1.08359133126935,7.62701408398256e-05
2025-01-30 23:46:55,8,653,0.010719754977029096,1.0719754977029097,7.446978054660522e-05
2025-01-30 23:46:55,8,658,0.010638297872340425,1.0638297872340425,4.308338283669398e-05
2025-01-30 23:46:55,7,667,0.010494752623688156,1.0494752623688157,5.511209218724714e-05
2025-01-30 23:46:55,7,675,0.01037037037037037,1.037037037037037,9.203308544530637e-05
2025-01-30 23:46:55,6,683,0.010248901903367497,1.0248901903367496,0.00013033269484711576
2025-01-30 23:46:55,8,690,0.011594202898550725,1.1594202898550725,4.1859452991890316e-05
